article_id,title,transport,sea,air,real,imaginary,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url,days
12972027,"The Sydney Morning Herald. TUESDAY, JULY 24, 1855. EUROPEAN NEWS.  BY the City of Sydney (s.), which arrived this morning, at 4.30, we have received Melbourne papers containing English extracts to 21st April, being one day later, which we hasten to place before our readers. London, Friday Evening. SIEGE OF SEBASTOPOL.",,,,,,35,The Sydney Morning Herald (NSW : 1842 - 1954),4,1855-07-24,Article,966,N,0,https://nla.gov.au/nla.news-article12972027,http://trove.nla.gov.au/newspaper/page/1502006,1
96492379,"INTERCOLONIAL TELEGRAPH IMPORTANT INTELLIGENCE. SEVEN DAYS LATER FROM ENGLAND. EUROPEAN CONGRESS AT BRUSSELS. COMMOTIONS IN SICILY AND NAPLES. INVASION OF MOROCCO BY SPAIN: INTERPOSITION OF ENGLAND. RETURN OF McCLINTOCK. PROOF OF SIR JOHN FRANKLIN'S DEATH. IMPORTANT FROM MELBOURNE AND SYDNEY. MORE FLOUR AND WHEAT. THE TURF CLUB RACES. GEEAT COAL DISCOVERY. BOBBERY OF THE LONDON CHARTERED BANK. NEWS FROM SOUTH AMERICA. ATTACKS BY INDIANS. NEW ZEALAND. DESTRUCTIVE FIRES. FORMATION OF A NEW PROVINCE. Received in Adelaide, Monday, 10.35 a.m.",,,,,,287,"South Australian Weekly Chronicle (Adelaide, SA : 1858 - 1867)",4,1859-11-19,Article,270,N,0,https://nla.gov.au/nla.news-article96492379,http://trove.nla.gov.au/newspaper/page/8356753,7
13035420,"[The following was published in a slip yesterday afternoon, at 3 p.m.] EIGHT DAYS' LATER FROM EUROPE. [BY THE RED SEA AND INDIA TELEGRAPH.] Sydney Morning Herald Office. Monday, January 9th, 3 p.m. [FROM OUR MELBOURNE CORRESPONDENT.] London, November 26th.",,,,,,35,The Sydney Morning Herald (NSW : 1842 - 1954),5,1860-01-10,Article,760,N,0,https://nla.gov.au/nla.news-article13035420,http://trove.nla.gov.au/newspaper/page/1489018,8
132222885,"EIGHT DAYS LATER FROM EUROPE. Sydney Morning Herald office Monday January 9th 3p. m. London, November 26th.",,,,,,669,"Illawarra Mercury (Wollongong, NSW : 1856 - 1950)",4,1860-01-13,Article,190,N,0,https://nla.gov.au/nla.news-article132222885,http://trove.nla.gov.au/newspaper/page/15012404,8
75525744,"EIGHT DAYS LATER FROM EUROPE. Sydney Morning Herald Office. Monday, January 8th 3 p.m.  London, November 26th.",,,,,,257,"The Darling Downs Gazette and General Advertiser (Toowoomba, Qld. : 1858 - 1880)",3,1860-01-19,Article,196,N,1,https://nla.gov.au/nla.news-article75525744,http://trove.nla.gov.au/newspaper/page/7517211,8
41021459,"TELEGRAPHIC NEWS. TORRES STRAITS MAIL. FIFTEEN DAYS' LATER NEWS FROM ENGLAND. LONDON DATES, OCTOBER 27. BANK BATE STILL 4½ PEE CENT. MARKETS FIRM. THE AMERICAN WHEAT CROP A FAILURE. FRIGHTFUL FIRE AT QUEBEC. SYDNEY, DECEMBER 3.",,,,,,41,"South Australian Register (Adelaide, SA : 1839 - 1900)",2,1866-12-04,Article,259,N,0,https://nla.gov.au/nla.news-article41021459,http://trove.nla.gov.au/newspaper/page/3954445,15
159506969,"TELEGRAPHIC NEWS. TORRES STRAITS MAIL. FIFTEEN DAYS' LATER NEWS FROM ENGLAND.  LONDON DATES, OCTOBER 27. BANE RATE STILL 4½ PER CENT.  MARKETS FIRM. THE AMERICAN WHEAT C[?]OP A FAILURE.  FRIGHTFUL FIRE AT QUEBEC. Sydney, December 3.",,,,,,821,Adelaide Observer (SA : 1843 - 1904),5,1866-12-08,Article,260,N,0,https://nla.gov.au/nla.news-article159506969,http://trove.nla.gov.au/newspaper/page/18799811,15
113962208,"ARRIVAL OF THE ENGLISH MAIL. PRICE OF WOOL DECLINED 2D.—NAVY TENDERS FOR AUSTRALIAN PRESERVED MEATS.—LONDON TO MANARO IN 26 DAYS. LATEST SPECIAL TELEGRAM. (Through Greville and Co., Telegrammists.) SYDNEY, Wednesday Evening.",,,,,,510,"The Manaro Mercury, and Cooma and Bombala Advertiser (NSW : 1862 - 1931)",5,1869-04-16,Article,173,N,0,https://nla.gov.au/nla.news-article113962208,http://trove.nla.gov.au/newspaper/page/12463087,26
107135940,"Telegrams, This Day. ONE DAY LATER. IMPORTANT ROM ENGLAND (Reuter's Telegram Company, London, to Greville's Telegram Company, Sydney.) London, November 29, noon.",,,,,,508,"Evening News (Sydney, NSW : 1869 - 1931)",2,1870-12-23,Article,95,N,0,https://nla.gov.au/nla.news-article107135940,http://trove.nla.gov.au/newspaper/page/11598839,1
63114244,"TELEGRAPHIC INTELLIGENCE ONE DAY LATER. IMPORTANT FROM ENGLAND (Reuter's Telegram Company, London, to Greville's Telegram Company, Sydney.) London, November 29, noon.",,,,,,67,"Empire (Sydney, NSW : 1850 - 1875)",2,1870-12-24,Article,93,N,0,https://nla.gov.au/nla.news-article63114244,http://trove.nla.gov.au/newspaper/page/5665402,1
